,Title,Type,Organization,Amount,Date
0,Relay for Life; Gala,Partnership,American Cancer Society,4000,2014
0,Research & communications committee fee,Partnership,Juice Products Association,50000,2010
0,Research & communications committee fee,Partnership,Juice Products Association,50000,2011
0,Research & communications committee fee,Partnership,Juice Products Association,50000,2012
0,Research & communications committee fee,Partnership,Juice Products Association,138050,2013
0,Research donation for mobile phone intervention to increase physical activity / Principal Investigator Tim Church,Research,Pennington Biomedical Research Foundation,80000,2010
0,Research donation for study of Alzheimer's disease & exercise / Principal Investigator / Tim Church,Research,Pennington Biomedical Research Foundation,100000,2010
0,Research grant: Scientific Approaches to Strengthening Research Integrity in Nutrition and Energetics / Principal Investigator Dr. David Allison,Research,University of Alabama at Birmingham,299000,2011
0,"Research in the area of obesity, diabetes and related factors / Principal Investigator Dr. Venkat Narayan",Research,"Emory Global Diabetes Research Center, Rollins School of Public Health, Emory University",145000,2014
0,Ronald McDonald House Program,Partnership,"Ronald McDonald House Charities, Inc.",200000,2010
0,Ronald McDonald House Program,Partnership,"Ronald McDonald House Charities, Inc.",200000,2012
0,Ronald McDonald House program,Partnership,"Ronald McDonald House Charities, Inc.",200000,2011
0,Russian Federation Roll Out of the Future of Russia Foundation / Balashikha Project,Partnership,Emory University,50000,2011
0,Russian Federation Roll Out of the Future of Russia Foundation/Balashikha Project,Partnership,Emory University,50000,2010
0,SAL Healthy Kids*,Partnership,San Mateo County Sheriff's Activities League,25000,2012
0,SER Saludable / Be Healthy Initiative,Partnership,"Hispanic Federation, Inc.",100000,2013
0,SER Saludable / Be Healthy Initiative*,Partnership,"Hispanic Federation, Inc.",150000,2012
0,SER Saludable / Be Healthy Initiative*,Partnership,"Hispanic Federation, Inc.",75000,2014
0,SSUSA Greater NY Metro Program Expansion*,Partnership,"Street Soccer USA, Inc.",45000,2012
0,"Salsa, Sabor y Salud Program*",Partnership,AltaMed Health Services Corporation,15000,2010
0,Salud es Felicidad' Diabetes and Obesity Prevention Education*,Partnership,Hispanic Health Coalition of Georgia,50000,2013
0,Salud es Felicidad' Diabetes and Obesity Prevention Education*,Partnership,Hispanic Health Coalition of Georgia,50000,2014
0,Saturday Night Lights Program*,Partnership,Police Athletic League,50000,2014
0,Scholarships to Attend Camp High Harbour*,Partnership,Young Men's Christian Association of Metropolitan Atlanta Inc.,25000,2012
0,Scholarships*,Partnership,Young Men's Christian Association of Metropolitan Atlanta Inc.,25000,2011
0,School of Life*,Partnership,Soccer in the Streets,75000,2010
0,School of Life*,Partnership,Soccer in the Streets,70000,2011
0,School-Based Program to Promote Physical Activity and Good Nutrition to Prevent Childhood Obesity*,Partnership,University of South Carolina Educational Foundation,200000,2012
0,Seattle/King County Clinic,Partnership,Seattle Center Foundation,25000,2013
0,Seed-to-Plate Nutrition Education and Classroom Physical Activity*,Partnership,Recipe for Success Foundation,25000,2013
0,Seeds of Health*,Partnership,"Centro del Obrero Fronterizo, Inc. (dba La Mujer Obrera)",17000,2010
0,Senior Nutrition and Fitness*,Partnership,"Project Open Hand/Atlanta, Inc.",50000,2010
0,Seventh Annual National Conference on Health Disparities,Partnership,Medical University of South Carolina,25000,2013
0,Six Weeks to Fitness Program*,Partnership,"Body Sculpt of New York, Inc.",25000,2012
0,Sixth Annual National Conference on Health Disparities,Partnership,Medical University of South Carolina,25000,2012
0,Small Changes/Big Differences*,Partnership,"Good Old Lower East Side, Inc.",15000,2012
0,Soccer for Success*,Partnership,Detroit Police Athletic League Inc.,100000,2011
0,Soccer for Success*,Partnership,U.S. Soccer Federation Foundation,350000,2012
0,Soccer for Success*,Partnership,U.S. Soccer Federation Foundation,350000,2014
0,South Bronx Green Team: Healthy Nutrition and Physical Activity*,Partnership,Downtown Bronx Eco Development Corporation,15000,2012
0,Special Olympics Healthy Athletes 2015: Train--the-Trainer Initiative for Medical Professionals*,Partnership,Special Olympics International,150000,2014
0,Spirit of Service Gala,Partnership,Human Services Association,1000,2015
0,Sponsored Research Agreement for Energy Balance Study - Role of Diet and Physical Activity In Weight Gain/ Principal Investigator Dr. Steven Blair,Research,"University of South Carolina, South Carolina Research Foundation",4409000,2010
0,Sponsored Research Study; Adequate Fluid Intake for Hydration/ Principal Investigator Dr. Mindy Millard-Stafford,Research,Georgia Institute of Technology,121000,2010
0,Sponsored research agreement for 'Reasons for geographic and racial differences in stroke' (REGARDS) study / Principal Investigator Brent Hutto,Research,"University of South Carolina, Arnold School of Public Health",32000,2013
0,Sponsored week long soccer tournament in Chicago,Partnership,Chicago International Sports Group,5000,2014
0,Sponsorship,Partnership,Colorado Parks and Recreation,500,2014
0,Sponsorship,Partnership,Food Allergy & Anaphylaxix Network,40000,2010
0,Sponsorship for scientific meeting,Partnership,International Positive Psychology Association,50000,2015
0,Sponsorship of Discovery Ball,Partnership,American Cancer Society,25000,2012
0,Sponsorship of Family Cultural Health & Wellness Fair,Partnership,Save Latin America Inc.,10000,2012
0,Sponsorship of Family Cultural Health & Wellness Fair,Partnership,Save Latin America Inc.,5000,2013
0,Sponsorship of Family Cultural Health & Wellness Fair,Partnership,Save Latin America Inc.,2500,2014
0,Sponsorship of annual gala,Partnership,National Press Foundation,15000,2013
0,Sponsorship of annual gala,Partnership,National Press Foundation,15000,2014
0,Sponsorship of annual gala,Partnership,National Press Foundation,15000,2012
0,Sport for LIFE All Island Programme*,Partnership,American Friends of the University of Ulster,350000,2013
0,Sport for LIFE All Island Programme*,Partnership,American Friends of the University of Ulster,142548,2014
0,Sprite Refreshing Communities,Partnership,Habitat for Humanity,250000,2011
0,Sprite Spark Park Program,Partnership,National Recreation and Park Association,837500,2012
0,St. Jude's Children's Research Hospital Celebrity Poker Tournament,Partnership,St. Jude's Children's Research Hospital,20000,2015
0,Stand Together Week,Partnership,Portland Timbers,5500,2015
0,Staten Island YMCA Diabetes Prevention*,Partnership,YMCA of Greater New York,20000,2012
0,Step It Up: Mind + Body Expansion*,Partnership,Girls Incorporated,100000,2013
0,Stepping Stones*,Partnership,Moving in the Spirit,15000,2012
0,Stomp for Life!*,Partnership,UNTHealth Science Center,20000,2010
0,Student travel grants to attend annual The Obesity Society conference,Partnership,The Obesity Society,25000,2013
0,Student travel grants to attend annual The Obesity Society conference,Partnership,The Obesity Society,21500,2014
0,Student travel grants to attend annual The Obesity Society conference,Partnership,The Obesity Society,10750,2015
0,"Su Voz Es Nuestra Voz, Muevete (Your Voice is Our Voice, Let's Move)*",Partnership,"Puerto Rican Family Institute, Inc.",20000,2012
0,Suffolk County Marathon,Partnership,Suffolk County Marathon,5000,2014
0,Summer Camp Scholarship,Partnership,Friends of Oakland Parks and Recreation,5000,2012
0,Summer Jobs Progam,Partnership,United Way of the Bay Area,10000,2014
0,Support  conference,Partnership,National Physical Activity Plan,15000,2014
0,Support  conference,Partnership,National Physical Activity Plan,15000,2015
0,Support Educational Conference,Partnership,Southeastern Conference,5000,2014
0,Support Foundation through FUZE,Partnership,National Breast Cancer Foundation,150000,2012
0,Support Foundation through FUZE,Partnership,National Breast Cancer Foundation,66667,2013
0,Support TOS Basic Science Interest Section at annual meeting,Partnership,The Obesity Society,2500,2015
0,Support for Exercise is Medicine,Partnership,American College of Sports Medicine,200000,2010
0,Support for Exercise is Medicine,Partnership,American College of Sports Medicine,250000,2011
0,Support for Exercise is Medicine,Partnership,American College of Sports Medicine,200000,2012
0,Support for Exercise is Medicine,Partnership,American College of Sports Medicine,80000,2013
0,Support for Exercise is Medicine,Partnership,American College of Sports Medicine,10000,2014
0,Support for Exercise is Medicine,Partnership,American College of Sports Medicine,45000,2015
0,Support for Hudson Institute Obesity Solutions Initiative,Partnership,Hudson Institute,75000,2010
0,Support for Hudson Institute Obesity Solutions Initiative,Partnership,Hudson Institute,75000,2013
0,Support for Hudson Institute Obesity Solutions Initiative,Partnership,Hudson Institute,75000,2015
0,Support for active living research program,Partnership,Pennington Biomedical Research Foundation,75000,2011
0,Support for active living research program,Partnership,Pennington Biomedical Research Foundation,15000,2012
0,Support for amplification of scientific reviews by independent experts,Partnership,Touch Medical Media,108000,2013
0,Support for cardiosmart.org,Partnership,American College of Cardiology,250000,2010
0,Support for cardiosmart.org; community screenings,Partnership,American College of Cardiology,250000,2011
0,Support for cardiosmart.org; community screenings,Partnership,American College of Cardiology,880000,2012
0,Support for cardiosmart.org; community screenings,Partnership,American College of Cardiology,375000,2013
0,Support for cardiosmart.org; community screenings,Partnership,American College of Cardiology,450000,2014
0,Support for cardiosmart.org; community screenings,Partnership,American College of Cardiology,450000,2015
0,Support for conference,Partnership,International College of Dentists,35000,2012
0,Support for conference,Partnership,International Congress of Nutrition,63000,2013
0,Support for conference,Partnership,International Congress on Physical Activity & Public Health,269497,2014
0,Support for healthychildren.org,Partnership,American Academy of Pediatrics,325000,2010
0,Support for healthychildren.org,Partnership,American Academy of Pediatrics,775000,2011
0,Support for healthychildren.org,Partnership,American Academy of Pediatrics,650000,2012
0,Support for healthychildren.org,Partnership,American Academy of Pediatrics,325000,2013
0,Support for healthychildren.org,Partnership,American Academy of Pediatrics,607000,2014
0,Support for healthychildren.org,Partnership,American Academy of Pediatrics,303600,2015
0,Support for publication of scientific reviews by independent experts,Partnership,Touch Medical Media,50000,2013
0,Support for publication of scientific reviews by independent experts,Partnership,Touch Medical Media,146000,2014
0,Support of CNU Conference.,Partnership,Congress for the New Urbanism,5000,2012
0,Support training conference,Partnership,Pennington Biomedical Research Foundation,65000,2011
0,Support training meeting,Partnership,Pennington Biomedical Research Foundation,51000,2012
0,Supports organization mission to advance scientific innovation in the service of humanity.,Partnership,New York Academy of Sciences,150000,2012
0,Susan G Komen,Partnership,Susan G Komen,150000,2012
0,Sustaining Member,Partnership,American Society for Nutrition,10000,2011
0,Sustaining Member,Partnership,American Society for Nutrition,10000,2012
0,Sustaining Member,Partnership,American Society for Nutrition,10000,2013
0,Sustaining Member,Partnership,American Society for Nutrition,10000,2015
0,Symposium: Understanding Nutrition Related Consumer Behavior,Partnership,Foundation for the National Institutes of Health,15000,2013
0,TLW Wheat Street Gardens,Partnership,Truly Living Well Center For Natural Urban Agriculture,20000,2011
0,Team Up! Explore Science & Sports*,Partnership,"Children's Museum of Atlanta, Inc.",20000,2011
0,Tennis for Fun and Fitness*,Partnership,"Boys & Girls Club of Harlem, Inc.",25000,2012
0,The Best of Ireland Gala Dinner 2014- Children's Medical Research Foundation,Partnership,The American Ireland Fund,25000,2014
0,The Big Fit,Partnership,"Big Brothers Big Sisters of Metro Atlanta, Inc.",50000,2013
0,The Big Fit*,Partnership,"Big Brothers Big Sisters of Metro Atlanta, Inc.",50000,2013
0,The Big Splash 2013: The Great Regatta,Partnership,Children's Healthcare of Atlanta Foundation,12500,2013
0,The Bronx Nutrition and Fitnness Initiative for Teens*,Partnership,Mosholu Montefiore Community Center,25000,2011
0,The Greater Grady Campaign,Partnership,Grady Memorial Hospital Corporation,1000000,2011
0,The Greater Grady Campaign,Partnership,Grady Memorial Hospital Corporation,1000000,2012
0,The Healthy Food and Fitness Olympics,Partnership,The Children's Aid Society,20000,2012
0,The Legendary Party 2013,Partnership,Shepherd Center,10000,2013
0,The Richmond District Neighborhood Center's Passport to Healthy Living*,Partnership,Richmond District Neighborhood Center,25000,2010
0,The Telemedicine Project - Russian Federation Balashikha Project,Partnership,Emory University,50000,2012
0,The Wellness Revolution at Spelman College*,Partnership,Spelman College,100000,2013
0,The Wellness Revolution at Spelman College*,Partnership,Spelman College,150000,2014
0,"Tom Glavine's 20th Annual Spring Training event, hosted by Delta,  to benefit the Georgia Transplant Foundation",Partnership,Georgia Transplant Foundation,10000,2012
0,Tommy Smith Youth Track Event,Partnership,"100 Black Men of the Bay Area, Inc.",5000,2015
0,Trail Maintenance,Partnership,National Park Foundation,5000,2011
0,Trail Maintenance for 18 National Parks,Partnership,National Park Foundation,5000,2010
0,Trail Maintenance for 18 National Parks,Partnership,National Park Foundation,5000,2012
0,Trails and Healthy Recreation for All - Metropolitan Grants Program*,Partnership,Rails-To-Trails Conservancy,150000,2012
0,Trails and Healthy Recreation for All - Metropolitan Grants Program*,Partnership,Rails-To-Trails Conservancy,150000,2013
0,Trails for All - Metropolitan Grants Program*,Partnership,Rails-To-Trails Conservancy,150000,2011
0,Trails for All -- Metropolitan Grants Program*,Partnership,Rails-To-Trails Conservancy,200000,2010
0,Train-the-Trainer Initiative for Medical Professionals*,Partnership,Special Olympics International,150000,2013
0,Travel for participation in conferences,Partnership,Anschutz Health & Wellness Center,10000,2013
0,Travel grants,Partnership,Sharewik Media Group,6170,2014
0,Travel grants,Partnership,Sports Science Insights,934,2011
0,Travel grants,Partnership,University of South Carolina,14534,2010
0,Travel grants,Partnership,University of South Carolina,70000,2014
0,Travel grants,Partnership,University of Toronto,16570,2011
0,Travel to attend conference,Partnership,Pennington Biomedical Research Foundation,2157,2010
0,Travel to attend conference,Partnership,Pennington Biomedical Research Foundation,45000,2013
0,Travel to attend conference,Partnership,Pennington Biomedical Research Foundation,780,2012
0,Triple Play,Partnership,Boys & Girls Clubs of America Triple Play Program,850000,2010
0,Triple Play,Partnership,Boys & Girls Clubs of America Triple Play Program,850000,2011
0,Triple Play,Partnership,Boys & Girls Clubs of America Triple Play Program,850000,2012
0,Triple Play,Partnership,Boys & Girls Clubs of America Triple Play Program,850000,2013
0,Triple Play,Partnership,Boys & Girls Clubs of America Triple Play Program,850000,2014
0,Triple Play,Partnership,Boys & Girls Clubs of America Triple Play Program,1000000,2015
0,Triple Play - Healthy Habits for High Achievers*,Partnership,Boys & Girls Clubs of Las Vegas,25000,2013
0,Triple Play Healthy Habits*,Partnership,Boys & Girls  Club of Fontana,10000,2010
0,Triple Play and Junior Chef Club*,Partnership,East Valley Boys and Girls Club,25000,2012
0,Triple Play*,Partnership,Boys & Girls Clubs of America,300000,2014
0,U.S. Olympic Training Center in Colorado Springs: A Campaign for Excellence*,Partnership,United States Olympic Committee,250000,2013
0,US Pro Challenge,Partnership,US Pro Cycle Challenge,5000,2014
0,US Scientific Forum,Partnership,Foundation for the National Institutes of Health,37500,2011
0,US-Russia Collaborative Fellowship Program in the Biomedical Sciences,Partnership,Foundation for the National Institutes of Health,72772,2013
0,US-Russia Collaborative Fellowship Program in the Biomedical Sciences,Partnership,Foundation for the National Institutes of Health,72772,2012
0,Unrestricted Grant for research on Bone Health and Obesity/ Principal Investigators Dr. Richard Lewis and Dr. Lynn Bailey,Research,University of Georgia Department of Foods and Nutrition,45000,2014
0,"Unrestricted Grant to support research, participation and expertise from the faculty of the Emory Global Diabetes Research Center/ Principal Investigator Dr. Venkat Narayan",Research,"Emory Global Diabetes Research Center,  Rollins School of Public Health, Emory University",35000,2015
0,Unrestricted grant for Global Energy Balance Network,Partnership,University of Colorado,1000000,2013
0,"Unrestricted grant to support the Center for Child Nutrition, Health and Development /  Principal Investigator Dr. Harvey Anderson",Research,"University of Toronto, Center for Childhood Nutrition Health and Development",50000,2014
0,Unrestricted grant; support Global Energy Balance web site development,Partnership,University of South Carolina,507000,2014
0,Unrestricted research donation /  Principal Investigator Dr. John Sievenpiper,Research,University of Toronto,112000,2014
0,Unrestricted research donation / Principal Investigator Dr. John Sievenpiper,Research,Toronto 3D Knowledge Synthesis and ClinicalTrials Foundation,80000,2014
0,Unrestricted travel grant to present research at scientific meetings,Partnership,Iowa State University,5000,2015
0,Unrestricted travel grant to present research at scientific meetings,Partnership,Pennington Biomedical Research Foundation,10000,2014
0,Unrestricted travel grant to share research at scientific meetings,Partnership,West Virginia University College of Public Health,11500,2015
0,Unrestricted travel grant to support their nutrition seminar series,Partnership,University of California Davis,5000,2015
0,Valor Games,Partnership,Far West Wheelchair Association,2500,2014
0,Valor Games,Partnership,Far West Wheelchair Association,2500,2015
0,Vive en Forma*,Partnership,Vive en Forma,75000,2011
0,Vive en Forma*,Partnership,Vive en Forma,100000,2012
0,Walk 'n Rollers' Active Youth Engagement Program*,Partnership,Los Angeles County Bicycle Coalition,25000,2013
0,Walk Georgia & Georgia Shape*,Partnership,"University System of Georgia Foundation, Inc.",800000,2013
0,Walk Georgia & Georgia Shape*,Partnership,"University System of Georgia Foundation, Inc.",600000,2014
0,Walk Georgia -- Wesley Woods Wellness Club for Seniors*,Partnership,"Foundation of Wesley Woods, Inc.",50000,2014
0,Walk Georgia:  Atlanta BeltLine Health Initiative*,Partnership,Atlanta BeltLine Partnership,100000,2013
0,Walk Georgia:  Centers of Hope Initiative,Partnership,"The Community Foundation for Greater Atlanta, Inc.",400000,2013
0,Walk Georgia:  Centers of Hope Initiative,Partnership,"The Community Foundation for Greater Atlanta, Inc.",300000,2014
0,Walk Georgia:  Centers of Hope Initiative,Partnership,"The Community Foundation for Greater Atlanta, Inc.",300000,2015
0,Walk Georgia: Empowering Healthy Living*,Partnership,Young Men's Christian Association of Metropolitan Atlanta Inc.,75000,2013
0,Walk Georgia: Healthy Lifestyle*,Partnership,Ryan Cameron Foundation,25000,2013
0,Walk Georgia: Kids Get Active,Partnership,"Piedmont Park Conservancy, Inc.",30000,2013
0,Walk Georgia: Make the Connection Campaign*,Partnership,"PATH Foundation, Inc.",100000,2013
0,Walk Georgia: Make the Connection Campaign*,Partnership,"PATH Foundation, Inc.",200000,2014
0,Walk Georgia: Make the Connection Campaign*,Partnership,"PATH Foundation, Inc.",200000,2015
0,Walk Georgia: Positive Choice Soccer and School of Life Programs*,Partnership,Soccer in the Streets,75000,2013
0,WalkPHX*,Partnership,Phoenix Parks and Conservation Foundation,25000,2014
0,Washington Nationals Youth Baseball Academy*,Partnership,Washington Nationals Dream Foundation,50000,2011
0,Web-Based Clearinghouse for Physical Activity and Nutrition-Focused Resources,Partnership,"National Foundation on Fitness, Sports, and Nutrition",200000,2012
0,White Coat Grady Gala,Partnership,Henry W. Grady Health System Foundation,25000,2011
0,White Coat Grady Gala,Partnership,Henry W. Grady Health System Foundation,25000,2012
0,White Coat Grady Gala,Partnership,Henry W. Grady Health System Foundation,150000,2013
0,White Coat Grady Gala,Partnership,Henry W. Grady Health System Foundation,100000,2014
0,Wiinterfest,Partnership,Seattle Center,5000,2013
0,Winship Gala,Partnership,Winship Cancer Institute,25000,2014
0,Winterfest,Partnership,Seattle Center,5000,2012
0,Women With Heart,Partnership,Morehouse School of Medicine,15000,2012
0,Women With Heart,Partnership,Morehouse School of Medicine,77000,2013
0,Women with Heart,Partnership,Morehouse School of Medicine,50000,2014
0,Y Healthy Kids*,Partnership,YMCA of Greater New York,25000,2010
0,YMCA PLAY Program*,Partnership,YMCA of Metropolitan Los Angeles,25000,2013
0,YMCA Soccer Program*,Partnership,Santa Maria Valley YMCA,25000,2013
0,YMCA Tennis Georgia*,Partnership,Georgia Tennis Foundation,50000,2014
0,YMCA Youth Fitness and Wellness*,Partnership,Downey Family YMCA,50000,2013
0,YRSA Program Development and Capacity Building*,Partnership,Young Rock Soccer Academy,20000,2012
0,Young Legislators Class,Partnership,Community Family Guidance Center,2500,2015
0,Youth Acrobatics,Partnership,Jesse White Tumblers,41000,2010
0,Youth Acrobatics,Partnership,Jesse White Tumblers,40000,2011
0,Youth Acrobatics,Partnership,Jesse White Tumblers,40000,2012
0,Youth Acrobatics,Partnership,Jesse White Tumblers,20000,2014
0,Youth Acrobatics,Partnership,Jesse White Tumblers,15000,2015
0,Youth Ambassador Recruitment Campaign*,Partnership,America's State Parks Foundation,50000,2012
0,Youth Ambassador Recruitment Campaign*,Partnership,America's State Parks Foundation,50000,2013
0,Youth Athletic Awards,Partnership,Honors Court,500,2013
0,Youth Fitness Challenge*,Partnership,"Catholic Charities Community Services, Archdiocese of New York",500000,2013
0,Youth Fitness Challenge*,Partnership,"Catholic Charities Community Services, Archdiocese of New York",500000,2014
0,Youth Football and Cheerleading Organization,Partnership,Okemos Modeling,1000,2014
0,Youth Movement,Partnership,"100 Black Men of the Bay Area, Inc.",100000,2011
0,Youth Run NOLA,Partnership,"Youth Run NOLA, Inc.",20000,2012
0,Youth Sports and Fitness Program*,Partnership,Good Sports,100000,2011
0,Youth Voice Youth Choice*,Partnership,National 4-H Council,200000,2010
0,Youth Voice Youth Choice*,Partnership,National 4-H Council,250000,2013
0,Youth sports programming,Partnership,Detroit Police Athletic League,2500,2013
0,Youth sports programming,Partnership,Detroit Police Athletic League,10000,2014
0,Youth sports programming,Partnership,Detroit Police Athletic League,7000,2015
0,YouthPlaces*,Partnership,YouthPlaces,25000,2013
0,"e.n.e.r.g.y. (eating nutritiously, exercising regularly, and growing ""y""-isely)*",Partnership,QueensCare Family Clinics,20000,2010
0,genHkids Move More Campaign,Partnership,"genHkids, Inc.",106000,2014
0,Aerobics Center Longitudinal Study analysis / Principal Investigator Dr. Steven Blair,Research,"University of South Carolina, South Carolina Research Foundation",33400.00,2010.0
0,Aerobics Center Longitudinal Study analysis / Principal Investigator Dr. Steven Blair,Research,"University of South Carolina, South Carolina Research Foundation",33400.00,2011.0
0,Aerobics Center Longitudinal Study analysis / Principal Investigator Dr. Steven Blair,Research,"University of South Carolina, South Carolina Research Foundation",33400.00,2012.0
0,Aerobics Center Longitudinal Study analysis / Principal Investigator Dr. Steven Blair,Research,"University of South Carolina, South Carolina Research Foundation",33400.00,2013.0
0,Aerobics Center Longitudinal Study analysis / Principal Investigator Dr. Steven Blair,Research,"University of South Carolina, South Carolina Research Foundation",33400.00,2014.0
0,"As a member of ABA, we support health and wellness research through the Science Committee",Research,American Beverage Association,398199.00,2010.0
0,"As a member of ABA, we support health and wellness research through the Science Committee",Research,American Beverage Association,398199.00,2011.0
0,"As a member of ABA, we support health and wellness research through the Science Committee",Research,American Beverage Association,398199.00,2012.0
0,"As a member of ABA, we support health and wellness research through the Science Committee",Research,American Beverage Association,398199.00,2013.0
0,"As a member of ABA, we support health and wellness research through the Science Committee",Research,American Beverage Association,398199.00,2014.0
0,"As a member of ILSI North America, we support health and wellness research projects through various committees.",Research,International Life Sciences Institute North America http://www.ilsi.org/NorthAmerica/Pages/HomePage.aspx,222000.00,2010.0
0,"As a member of ILSI North America, we support health and wellness research projects through various committees.",Research,International Life Sciences Institute North America http://www.ilsi.org/NorthAmerica/Pages/HomePage.aspx,222000.00,2011.0
0,"As a member of ILSI North America, we support health and wellness research projects through various committees.",Research,International Life Sciences Institute North America http://www.ilsi.org/NorthAmerica/Pages/HomePage.aspx,222000.00,2012.0
0,"As a member of ILSI North America, we support health and wellness research projects through various committees.",Research,International Life Sciences Institute North America http://www.ilsi.org/NorthAmerica/Pages/HomePage.aspx,222000.00,2013.0
0,"As a member of ILSI North America, we support health and wellness research projects through various committees.",Research,International Life Sciences Institute North America http://www.ilsi.org/NorthAmerica/Pages/HomePage.aspx,222000.00,2014.0
0,"As a member of ILSI North America, we support health and wellness research projects through various committees.",Research,International Life Sciences Institute North America http://www.ilsi.org/NorthAmerica/Pages/HomePage.aspx,222000.00,2015.0
0,"Consulting services for  Consulting services for Methods in Research Synthesis and Meta-analyses on SSB, diet beverages, and health outcomes. Principal Investigator Dr. Michelle Althuis",Research,Lincoln Greystone,63900.00,2010.0
0,"Consulting services for  Consulting services for Methods in Research Synthesis and Meta-analyses on SSB, diet beverages, and health outcomes. Principal Investigator Dr. Michelle Althuis",Research,Lincoln Greystone,63900.00,2011.0
0,"Consulting services for  Consulting services for Methods in Research Synthesis and Meta-analyses on SSB, diet beverages, and health outcomes. Principal Investigator Dr. Michelle Althuis",Research,Lincoln Greystone,63900.00,2012.0
0,"Consulting services for  Consulting services for Methods in Research Synthesis and Meta-analyses on SSB, diet beverages, and health outcomes. Principal Investigator Dr. Michelle Althuis",Research,Lincoln Greystone,63900.00,2013.0
0,"Consulting services for  Consulting services for Methods in Research Synthesis and Meta-analyses on SSB, diet beverages, and health outcomes. Principal Investigator Dr. Michelle Althuis",Research,Lincoln Greystone,63900.00,2014.0
0,"Consulting services for  Methods in Systematic Review and Meta-analysis and Meta-analyses on SSB, diet beverages and Type 2 diabetes, and Nutrition Science Education / Principal Investigator Dr. Douglas Weed",Research,DLW Consulting Services,28000.00,2010.0
0,"Consulting services for  Methods in Systematic Review and Meta-analysis and Meta-analyses on SSB, diet beverages and Type 2 diabetes, and Nutrition Science Education / Principal Investigator Dr. Douglas Weed",Research,DLW Consulting Services,28000.00,2011.0
0,"Consulting services for  Methods in Systematic Review and Meta-analysis and Meta-analyses on SSB, diet beverages and Type 2 diabetes, and Nutrition Science Education / Principal Investigator Dr. Douglas Weed",Research,DLW Consulting Services,28000.00,2012.0
0,"Consulting services for  Methods in Systematic Review and Meta-analysis and Meta-analyses on SSB, diet beverages and Type 2 diabetes, and Nutrition Science Education / Principal Investigator Dr. Douglas Weed",Research,DLW Consulting Services,28000.00,2013.0
0,"Consulting services for  Methods in Systematic Review and Meta-analysis and Meta-analyses on SSB, diet beverages and Type 2 diabetes, and Nutrition Science Education / Principal Investigator Dr. Douglas Weed",Research,DLW Consulting Services,28000.00,2014.0
0,"Consulting services for  Methods in Systematic Review and Meta-analysis and Meta-analyses on SSB, diet beverages and Type 2 diabetes, and Nutrition Science Education / Principal Investigator Dr. Douglas Weed",Research,DLW Consulting Services,28000.00,2015.0
0,Research Agreement for Energy Flux - Are We Healthier When Energy Balance is Achieved When Eating at a Higher Calorie Level/ Principal Investigators Dr. Steve Blair and Dr. Greg Hand,Research,"University of South Carolina, South Carolina Research Foundation",212750.00,2010.0
0,Research Agreement for Energy Flux - Are We Healthier When Energy Balance is Achieved When Eating at a Higher Calorie Level/ Principal Investigators Dr. Steve Blair and Dr. Greg Hand,Research,"University of South Carolina, South Carolina Research Foundation",212750.00,2011.0
0,Research Agreement for Energy Flux - Are We Healthier When Energy Balance is Achieved When Eating at a Higher Calorie Level/ Principal Investigators Dr. Steve Blair and Dr. Greg Hand,Research,"University of South Carolina, South Carolina Research Foundation",212750.00,2012.0
0,Research Agreement for Energy Flux - Are We Healthier When Energy Balance is Achieved When Eating at a Higher Calorie Level/ Principal Investigators Dr. Steve Blair and Dr. Greg Hand,Research,"University of South Carolina, South Carolina Research Foundation",212750.00,2013.0
0,Research study agreement for The South Asia Health and Wellness Tracking Program (SAHWP). Principal Investigator Dr. Venkat Narayan,Research,"Emory Global Diabetes Research Center, Rollins School of Public Health, Emory University",617000.00,2010.0
0,Research study agreement for The South Asia Health and Wellness Tracking Program (SAHWP). Principal Investigator Dr. Venkat Narayan,Research,"Emory Global Diabetes Research Center, Rollins School of Public Health, Emory University",617000.00,2011.0
0,Research study agreement for The South Asia Health and Wellness Tracking Program (SAHWP). Principal Investigator Dr. Venkat Narayan,Research,"Emory Global Diabetes Research Center, Rollins School of Public Health, Emory University",617000.00,2012.0
0,Restricted gift to support activities related to implementation and analyses of national nutrition and health surveys. Principal Investigator Dr. Adam Drewnowski,Research,"University of Washington Foundation, The Center for Public Health & Nutrition",4166.67,2010.0
0,Restricted gift to support activities related to implementation and analyses of national nutrition and health surveys. Principal Investigator Dr. Adam Drewnowski,Research,"University of Washington Foundation, The Center for Public Health & Nutrition",4166.67,2011.0
0,Restricted gift to support activities related to implementation and analyses of national nutrition and health surveys. Principal Investigator Dr. Adam Drewnowski,Research,"University of Washington Foundation, The Center for Public Health & Nutrition",4166.67,2012.0
0,Restricted gift to support activities related to implementation and analyses of national nutrition and health surveys. Principal Investigator Dr. Adam Drewnowski,Research,"University of Washington Foundation, The Center for Public Health & Nutrition",4166.67,2013.0
0,Restricted gift to support activities related to implementation and analyses of national nutrition and health surveys. Principal Investigator Dr. Adam Drewnowski,Research,"University of Washington Foundation, The Center for Public Health & Nutrition",4166.67,2014.0
0,Restricted gift to support activities related to implementation and analyses of national nutrition and health surveys. Principal Investigator Dr. Adam Drewnowski,Research,"University of Washington Foundation, The Center for Public Health & Nutrition",4166.67,2015.0
